Date : 2021-10-30 21:04:36
Directory : d:\Unity Projects\Quantonic\Assets\Scripts
Total : 64 files,  3936 codes, 795 comments, 718 blanks, all 5449 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         64 |      3,936 |        795 |        718 |      5,449 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         64 |      3,936 |        795 |        718 |      5,449 |
| AddOns                                                                                             |          3 |         58 |         11 |         11 |         80 |
| Core                                                                                               |         11 |        975 |        288 |        233 |      1,496 |
| Core\Abilities                                                                                     |          1 |         17 |          0 |          4 |         21 |
| Core\Controllables                                                                                 |          3 |        273 |         92 |         64 |        429 |
| Core\Gates                                                                                         |          4 |        198 |         40 |         45 |        283 |
| Core\Qubits                                                                                        |          3 |        487 |        156 |        120 |        763 |
| Enemies                                                                                            |         10 |        162 |         24 |         38 |        224 |
| Enemies\Features                                                                                   |          5 |         58 |         15 |         15 |         88 |
| Enemies\Features\Shooting                                                                          |          3 |         45 |          6 |         11 |         62 |
| Enemies\Types                                                                                      |          4 |         86 |          9 |         18 |        113 |
| Enemies\Types\Immobile                                                                             |          3 |         79 |          6 |         16 |        101 |
| Enemies\Types\Mobile                                                                               |          1 |          7 |          3 |          2 |         12 |
| Environment                                                                                        |          3 |         66 |          0 |         18 |         84 |
| Inputs                                                                                             |          3 |        800 |         13 |         33 |        846 |
| Managers                                                                                           |          7 |        853 |        253 |        191 |      1,297 |
| Managers\Global                                                                                    |          3 |         85 |         13 |         18 |        116 |
| Managers\Stage                                                                                     |          3 |        747 |        234 |        168 |      1,149 |
| Quantum                                                                                            |         10 |        308 |         71 |         49 |        428 |
| Quantum\Operators                                                                                  |          8 |        118 |         41 |         20 |        179 |
| Quantum\Operators\Binary                                                                           |          2 |         36 |         18 |          5 |         59 |
| Quantum\Operators\Unary                                                                            |          5 |         66 |         15 |         10 |         91 |
| StateMachines                                                                                      |          9 |        327 |         48 |         66 |        441 |
| StateMachines\ControllableStateMachine                                                             |          4 |        165 |         19 |         35 |        219 |
| StateMachines\QubitStateMachine                                                                    |          3 |        135 |         13 |         21 |        169 |
| UI                                                                                                 |          8 |        387 |         87 |         79 |        553 |
